user_being_followed_id,user_following_id
5195,6958
7426,2617
4727,398
263,6064
3038,5323
4309,7115
8556,2659
4663,1635
7240,3998
7650,2359
9601,8525
77,8802
6812,7800
5136,8784
7469,4958
4906,9164
3922,8317
6585,3338
8031,6847
2140,731
3400,1542
7100,8629
7325,4433
7683,8854
7187,5945
5377,2162
527,7729
9086,7285
9135,9506
1247,4504
9172,1232
986,6015
8649,1899
4962,4273
1953,9574
5458,9387
3206,7145
3745,6623
7886,5633
1493,46
9827,5055
7218,9823
2424,2942
9988,8324
6159,2651
6355,1656
3486,1915
1498,5812
7209,904
2316,6906
3838,9059
733,47
6192,9930
3954,4951
2124,7085
900,1178
4731,7929
9063,3173
4153,2350
2812,1182
7545,9810
9623,2022
2345,5660
8020,849
8428,3208
4512,4878
2804,2265
6685,7824
3914,7680
5442,7588
6575,2542
7184,1405
1730,8725
9379,2606
8279,7723
802,6892
9986,4875
4240,6218
7423,8794
3971,7078
1183,4960
4652,6586
2364,7992
3150,2471
2458,2051
9729,5500
3305,3159
6995,2791
4525,4047
1342,7638
9945,1873
1862,2770
5098,724
6224,3213
697,4206
1663,6648
2640,6278
3204,3294
4434,1395
1147,3299
7395,6496
3524,556
7071,7365
1254,2526
9193,4939
4199,6627
3259,9718
2571,7552
42,3610
5708,6773
9391,5622
9926,8708
6356,9797
3282,3281
7681,9119
8129,1346
4288,7424
3027,5623
6591,4055
3538,989
9882,7747
6014,4437
5800,5354
7299,2150
4319,5863
7832,5455
9687,4972
9656,59
6905,4088
9523,1235
6552,6094
5122,6024
8612,1025
5981,7300
4290,8770
5715,1926
115,675
8224,5792
3282,1281
9622,2700
3210,807
9508,7431
2329,8833
118,9618
1386,3540
5564,8193
7658,7230
156,9640
8552,3004
5056,5870
6885,767
6119,9510
8368,6667
2558,570
7610,8535
1112,5724
5257,7350
4806,7308
7049,9698
7966,7811
6793,96
7927,3564
9909,392
4565,2300
8361,9126
6079,3085
4094,495
3646,9704
6045,4931
1287,3792
5942,8869
1043,8080
236,1621
1004,604
6556,5849
4716,3055
5031,5815
1524,9185
4253,1557
8589,6792
5829,1882
6021,2939
1995,4042
953,9793
3456,8866
6959,1362
569,5077
3738,125
6905,1168
9216,7398
704,7881
5422,1062
7670,8105
7819,1312
4227,97
4887,9325
4754,3717
3264,2899
7692,7021
5414,2625
8631,7996
5495,2038
4846,809
5480,3351
8143,3687
6209,3998
5662,6418
3773,9001
2530,8938
235,954
6307,382
2413,890
9317,8391
3725,2097
4751,1420
3158,3804
2574,4032
7263,6992
4585,9668
8674,3727
7265,1831
8961,7087
5819,2041
1231,8935
2356,2562
6634,5992
3375,7346
2761,1023
7203,647
1506,4254
3279,125
426,7516
184,6572
6065,9562
6228,6014
4603,7144
603,9592
8363,7252
9300,4872
1305,5031
2572,2206
7284,1444
3711,1955
6617,3793
1500,6713
6370,973
4226,8724
3132,5761
2802,37
2720,3003
8357,2540
7081,5716
5986,7207
2802,5451
15,2172
8778,225
6779,8679
7097,5440
2076,4964
5080,9555
8383,7455
3691,9133
8826,1071
8004,5807
5996,3957
2671,5285
891,7027
2151,8398
5376,1235
4611,5535
7798,9935
940,9340
5311,5879
5463,6116
6044,4096
6624,4686
5060,5932
537,3616
9600,7786
2896,5979
1626,4669
4724,4045
6696,3963
349,7209
4309,6538
9312,8417
7840,6414
7985,6667
2231,3076
7912,4507
302,4238
5944,1188
9517,8561
2029,5196
2396,1971
9634,8936
9767,5329
3222,1172
920,4230
4340,1314
5875,8724
3876,5832
2468,5166
2239,8294
4107,7251
9839,8712
6268,5158
6332,344
3913,3944
113,3458
8255,2959
9935,1608
7994,7849
6499,2988
5144,9802
3101,7024
7739,8528
8930,830
2568,4528
6622,5783
36,2438
9224,322
2040,5122
4351,2650
2763,363
1416,469
5387,4274
5245,9722
4118,1166
9892,3978
7959,2199
400,2899
7938,3302
3483,1125
3194,3868
8062,9860
5840,4456
9064,2007
3541,9355
4825,2597
8792,1765
4581,3497
2830,5629
5633,1818
3100,7619
3085,716
3376,5950
7496,6450
9460,1644
7400,1805
3682,4309
4231,9831
5254,5188
9210,9796
2383,3175
191,9072
6127,9365
8315,4138
4884,7528
4819,8312
5671,711
7858,4548
3779,2879
4094,8154
6243,561
2464,8591
3185,3108
5370,9600
5904,1801
7268,2831
5684,2979
5016,8304
5624,6919
7627,4510
9723,765
6865,2365
9709,6027
4843,2028
3499,7918
4604,4586
6111,7992
8856,8238
557,3618
738,6457
7354,3241
385,2197
9992,6169
4146,8040
4402,1619
4657,2435
9557,2316
3545,4824
1275,2462
6059,1294
1006,9127
8417,4438
667,3954
6820,490
9247,2990
5201,3675
2363,1483
5237,8008
1829,8909
3974,1025
8847,9163
1752,252
9274,9422
4167,5777
7067,5360
3350,8651
942,1502
744,655
1132,1897
4203,5324
8418,9741
1715,7287
1188,752
2269,4594
7385,9023
6897,8349
1768,2785
6375,7524
1143,3733
5508,2923
707,9815
8194,1561
8341,6197
2867,891
3935,7792
3228,8300
7114,1161
4375,6701
347,5019
4792,9424
6502,787
920,8634
5309,5019
1666,7912
8875,3467
6553,6946
6525,9554
3200,2142
2384,3455
5432,7764
8214,9152
5829,1563
6292,5345
9933,1421
633,128
8397,2295
625,3227
9119,3674
5234,6131
1319,7018
2272,3329
8146,9021
4061,507
377,8872
4442,1885
4568,747
3015,2790
8186,7685
8776,320
1622,2667
777,1078
5240,4078
2859,4989
8742,9344
6783,9078
9963,5003
1505,2818
6499,8302
3321,1251
3729,169
2365,5594
4314,1527
32,6902
2616,7087
1843,4329
6317,6479
5051,3769
9195,704
3601,171
7867,5672
6919,2000
8824,1774
9869,9062
4752,1366
6249,7197
7562,8268
3718,3989
1973,841
9307,5764
2911,3850
3963,874
3703,7920
3617,1346
4990,9948
7837,3662
7478,2279
4297,8902
6425,4322
9870,5504
2029,1765
9831,3897
5938,6106
9986,7183
3228,9659
4359,5702
7954,8480
5874,9403
5537,9096
9121,5731
1983,2245
